ID,year,goldQuill,author1,author2,author3,author4,author5,author6,author7,author8,author9,author10,stateLead,instAuthor1,instAuthor2,instAuthor3,instAuthor4,instAuthor5,instAuthor6,instAuthor7,instAuthor8,instAuthor9,instAuthor10,currentInstAuthor1,currentInstAuthor2,currentInstAuthor3,currentInstAuthor4,currentInstAuthor5,currentInstAuthor6,currentInstAuthor7,currentInstAuthor8,currentInstAuthor9,currentInstAuthor10,Title,Topic,pp
1,2018,1,Shockley,Dvorak,Mason,McNeill,,,,,,,KY,Kentucky,Kentucky,Kentucky,Kentucky,,,,,,,Kentucky,Kentucky,Kentucky,Kentucky,,,,,,,The Process and Lessons Learned from Developing a Farm Management Mobile App - A Case Study of Grain Transportation,transportation,
2,2017,1,Barnard,Yeager,,,,,,,,,IN,Purdue,Kansas State,,,,,,,,,Purdue,Kansas State,,,,,,,,,Evaluating Effectiveness of Operating Strategies and Loan Term Repayment Capacity,finance,
3,2016,1,Griffin,Mark,Ferrell,Janzen,Ibendahl,Bennett,Maurer,Shanoyan,,,KS,Kansas State,Kentucky,Oklahoma State,private sector,Kansas State,Kansas State,Kansas State,Kansas State,,,Kansas State,Kentucky,Oklahoma State,private sector,Kansas State,Kansas State,Kansas State,Kansas State,,,Big Data Considerations for Rural Property Professionals,big data,
4,2015,1,Painter,,,,,,,,,,Canada,Saskatchewan,,,,,,,,,,Saskatchewan,,,,,,,,,,Assessing the Required Risk Premium for North American Farmland Investment,farmland,
5,2014,1,Paulson,Schnitkey,,,,,,,,,IL,Illinois,Illinois,,,,,,,,,Illinois,Illinois,,,,,,,,,Farmland Values and Rental Rate Trends,farmland,
6,2013,1,Edwards,Hart,,,,,,,,,IA,Iowa State,Iowa State,,,,,,,,,Iowa State,Iowa State,,,,,,,,,Sharing Financial Risk Through Flexible Farm Lease Agreements,,
7,2012,1,Paulson,,,,,,,,,,IL,Illinois,,,,,,,,,,Illinois,,,,,,,,,,Revisiting Flexible Cash Leases,,
8,2011,1,Fisher,,,,,,,,,,NY,private sector,,,,,,,,,,private sector,,,,,,,,,,,,
9,2010,1,Barnard,Ellinger,Wilson,,,,,,,,IN,Purdue,Illinois,Kansas State,,,,,,,,Purdue,Illinois,Kansas State,,,,,,,,Measurement Issues in Assessing Farm Profitability through Cash Tax Returns,,
10,2009,1,Richardson,Furnasi,Markley,Gilliland,Outlaw,,,,,,TX,Texas A&M,,,,,,,,,,Texas A&M,private sector,private sector,Texas A&M,Texas A&M,,,,,,Impacts of Farm Income and Person Income on Texas Land Values,,
11,2008,1,Eberle,Wallace,,,,,,,,,IL,Southern Illinois,Southern Illinois,,,,,,,,,Southern Illinois,,,,,,,,,,Recreational Leases as Means to Increase Landowner Income,,
12,2007,1,Beasley,Nelson,Strochein,Hamilton,,,,,,,ID,Idaho,Idaho,Idaho,Idaho,,,,,,,,,,,,,,,,,"Determinants of Farmland Values in the Boise, Idaho Metro Area: Applying Mathematical Modeling to Highest and Best Use Analysis",,
13,2006,1,Shultz,,,,,,,,,,NE,Nebraska Omaha,,,,,,,,,,,,,,,,,,,,Differences Between Agricultural Land Value Surveys and Market Sales,,
14,2005,1,Shultz,Pool,,,,,,,,,NE,Nebraska Omaha,Colorado State,,,,,,,,,,,,,,,,,,,,,
15,2004,1,Cole,Janssen,Johnson,,,,,,,,SD,South Dakota State,South Dakota State,Nebraska,,,,,,,,,,,,,,,,,,,,
16,2003,1,Holstein,,,,,,,,,,SC,private sector,,,,,,,,,,,,,,,,,,,,Real Reconcilliation,,
17,2002,1,Moss,Barry,,,,,,,,,OH,Ohio State,,,,,,,,,,Illinois,,,,,,,,,,Leasing Contract Choice: Do Transaction Characteristics Matter?,,
18,2001,1,Guither,,,,,,,,,,IL,Illinois,,,,,,,,,,Illinois,,,,,,,,,,,,
19,2000,1,Limkeman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Working With Clients Who Don't Know Agriculture,,
20,1999,1,Barnard,Boehlje,,,,,,,,,IN,Purdue,Purdue,,,,,,,,,Purdue,Purdue,,,,,,,,,,,
21,1997,1,Forster,Hitzhusen,,,,,,,,,OH,Ohio State,Ohio State,,,,,,,,,retired,Ohio State,,,,,,,,,,,
22,1996,1,Schoney,,,,,,,,,,Canada,Saskatchewan,,,,,,,,,,,,,,,,,,,,,,
23,1995,1,Oltmans,,,,,,,,,,NC,North Carolina State,,,,,,,,,,retired,,,,,,,,,,,,
24,1994,1,Barry,Gibson,,,,,,,,,IL,Illinois,,,,,,,,,,retired,,,,,,,,,,,,
25,1993,1,Boehlje,,,,,,,,,,MN,Minnesota,,,,,,,,,,,,,,,,,,,,,,
26,1992,1,Fostier,Featherstone,Schurle,Duncan,Schlender,,,,,,KS,Kansas State,Kansas State,Kansas State,Kansas State,Kansas State,,,,,,,,,,,,,,,,,,
27,1991,1,Libben,Torrell,,,,,,,,,NM,New Mexico State,New Mexico State,,,,,,,,,,,,,,,,,,,,,
28,1990,1,Duft,Willett,,,,,,,,,WA,Washington State,Washington State,,,,,,,,,,,,,,,,,,,,,
29,1989,1,Tabesh,Schroeder,Starleaf,,,,,,,,WI,Wisconsin ,Kansas State,Iowa State,,,,,,,,,,,,,,,,,,,,
30,1988,1,Justus,,,,,,,,,,KY,Kentucky,,,,,,,,,,,,,,,,,,,,,,
31,1987,1,Madsen,Gee,,,,,,,,,CO,Colorado State,,,,,,,,,,,,,,,,,,,,,,
32,1986,1,Riggins,Skees,Reed,,,,,,,,KY,Kentucky,Kentucky,Kentucky,,,,,,,,,,,,,,,,,,,,
33,1985,1,Fisher,Clapp,,,,,,,,,NY,private sector,private sector,,,,,,,,,,,,,,,,,,,,,
34,1984,1,Klemme,,,,,,,,,,WI,Wisconsin ,,,,,,,,,,,,,,,,,,,,,,
35,1983,1,Suter,,,,,,,,,,IN,Purdue,,,,,,,,,,,,,,,,,,,,,,
36,1982,1,Maley,,,,,,,,,,ID,,,,,,,,,,,,,,,,,,,,,,,
37,1981,1,Harrison,,,,,,,,,,IN,Purdue,,,,,,,,,,,,,,,,,,,,,,
38,1980,1,Boehlje,Thomas,,,,,,,,,IA,Iowa State,Minnesota,,,,,,,,,,,,,,,,,,,,,
39,1979,1,Nuchton,Gardner,,,,,,,,,CA ,,,,,,,,,,,,,,,,,,,,,,,
40,1978,1,Howell,,,,,,,,,,UT,,,,,,,,,,,,,,,,,,,,,,,
41,1977,1,Reiss,,,,,,,,,,IL,,,,,,,,,,,,,,,,,,,,,,,
42,1976,1,Paarlberg,,,,,,,,,,IN,Purdue,,,,,,,,,,,,,,,,,,,,,,
43,1975,1,Schneeberger,Briemeyer,,,,,,,,,MO,,,,,,,,,,,,,,,,,,,,,,,
44,2018,0,Wendong Zhang,Wei Zhang,Hart,,,,,,,,IA,Iowa State,Iowa State,Iowa State,,,,,,,,Iowa State,Iowa State,Iowa State,,,,,,,,Are Agricultural Professionals' Farmland Value and Crop Price Forecasts Consistent?,,
45,2018,0,Langemeier,,,,,,,,,,IN,Purdue,,,,,,,,,,Purdue,,,,,,,,,,Labor Efficiency and Productivity Benchmarks,,
46,2018,0,Bastian,Ritten,Feuz,Nagler,Smutko,,,,,,WY,Wyoming,Wyoming,Wyoming,Wyoming,Wyoming,,,,,,Wyoming,Wyoming,Wyoming,Wyoming,Wyoming,,,,,,Can Producers Bargain for Better Prices? Implications from Wyoming Focus Groups,,
47,2018,0,Batte,Dick,Fausey,Flanagan,Gonzalez,Islam,Reeder,VanToai,Watts,,KY,Kentucky,Ohio State,retired,private sector,private sector,Ohio State,Ohio State,retired,private sector,,Kentucky,Ohio State,retired,private sector,private sector,Ohio State,Ohio State,retired,private sector,,Cover Crops and Gypsum Applications: Soybean and Corn Yield and Profitability Impacts,,
48,2018,0,Plastina,Liu,Sawadgo,Miguez,Carlson,,,,,,IA,Iowa State,Iowa State,Iowa State,Iowa State,private sector,,,,,,Iowa State,Iowa State,Iowa State,Iowa State,private sector,,,,,,Partial Budgets for Cover Crops in Midwest Row Crop Farming,,
49,2018,0,Larsen,Feuz,,,,,,,,,UT,Utah State,Oklahoma State,,,,,,,,,Utah State,Oklahoma State,,,,,,,,,Grazing Fee Policy Changes Impact Sheep Producer's Profitability,,
